ICDCS	IEEE Intl Conf on Distributed Comp Systems
ICNP	Intl Conf on Network Protocols
IEEE+INFOCOM	Joint Conference of the IEEE Computer and Communications Societies
IPSN	Information Processing in Sensor Networks
IWQoS	IFIP International Workshop on QoS
MOBICOM	ACM International Conferencem on Mobile Computing and Networking
PERFORMANCE	IFIP Intl Symp on Computer Performance, Modeling, Measurements & Evaluation (since 1980)
PODC	ACM Symp on Principles of Distributed Computing
ACM+SIGCOMM	ACM Conference on Applications, Technologies,Architectures, and Protocols for Computer Communication
ACM+SIGMETRICS	ACM Conf on Meas. & Modelling of Comp Sys
UbiComp	Uniquitous Computing
WWW	International World Wide Web Conference
USITS	USENIX Conf on Internet Tech and Sys
Acronym	Conference Name
DISC	International Symposium on Distributed Computing (ex WDAG)
EWSN	European conference on Wireless Sensor Networks
Grid	International Conference on Grid Computing
HiPC	International Conference on High Performance Computing
HOTNETS	ACM Workshop on Hot Topics in Networks
HPDC	IEEE International Symposium on High Performance Distributed Computing
IC3N	International Conference on Computer Communication and Networks
ICC	Intl Conf on Comm
ICDCS	IEEE International Conference on Distributed Computing Systems
ICGG	International Conference on Grid Computing
ICNP	International Conference on Network Protocols
IFIP+IM	IFIP/IEEE Integrated Management (odd years sharing with NOMS)
IPCCC	IEEE Intl Phoenix Conf on Comp & Communications
IPDPS	IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)
LCN	IEEE Annual Conference on Local Computer Networks
MASS	IEEE International Conference on Mobile Ad-hoc and Sensor Systems
MOBIHOC	ACM Symposium of mobile and ad hoc computing
Mobiquitous	International Conference on Mobile and Ubiquitous Systems Networks and Services
Mobisys	ACM SIGMOBILE International Conference on mobile systems, applications and services
MSWIM	ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems
NetStore	Network Storage Symposium
Networking 200X	IFIP Networking 200X
OPENARCH	IEEE Conference on Open Architecture and Network Programming
P2P	IEEE International Conference on Peer-toPeer Computing
PADS	ACM/IEEE/SCS Workshop on Parallel & Distributed Simulation
IFIP+PERFORMANCE	IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation
RAID	Symposium on Recent Advances in Intrusion Detection
USITS	Unix Symposium on Internet Technologies
WCNC	IEEE Wireless Communications and Networking Conference
WoWMoM	IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks
ACISP	Australasia Conference on Information Security and Privacy
ACSAC	Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference)
ACSC	Australasian Computer Science Conference
ADHOC-NOW	International Conference on AD-HOC Networks & Wireless
AINA	International Conference on Advanced Information Networking and Applications (was ICOIN)
AMOC	Asian International Mobile Computing Conferrence
AWSAC	Annual Workshop on Selected Areas in Cryptography
Broadnets	International Conference on Broadband Communications, Networks and Systems
DAIS	IFIP International Conference on Distributed Applications and Inoperable Systems
DSS	Distributed Simulation Symposium
Emnets	IEEE Embedded Sensor Networks Worskhop
EuroPDP	EUROMICRO Conference on Parallel, Distributed and Network-Based processing
GLOBECOM	IEEE Global Telecommunications Conference
HPCN	International Conference on High Performance Computing and Networking
HPSR	IEEE Workshop on High Performance Switching and Routing
ICCC	Intl Conf on Comp Communication
ICDCN	IEEE International Conference on Distributed Computing and Networking
ICON	IEEE International Conference on Networks
ICPADS	IEEE International Conference on Parallel and Distributed Systems
IEEE-IV	Intelligent Vehicles Conference
IN	IEEE Intell Network Workshop
INET	Internet Society Conference
IWCMC	ACM International Wireless Communications and Mobile Computing Conference
LATIN	International Symposium on Latin American Theoretical Informatics
NCC	National Conference Communications
IEEE+NOMS	IEEE Network Operations and Management Symp
NOMS	IEEE Network Operations and Management Symposium
ODP	IFIP International Conference on Open Distributed Processing
OPODIS	International Conference on Principles of Distributed Systems
PDCAT	International Conference on Parallel and Distributed Computing, Applications and Technologies
PIMRC	IEEE International Symposium on Personal and Indoor Mobile Radio Conference
Qsine	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks
IEEE+SECON	IEEE Conference on Sensor, Mesh and Ad Hoc Communications and Networks
VTC	IEEE Vehicular Technology Conference
WCNC	IEEE Wireless Communications and Networking Conference
WDAG	Workshop on Distributed Algorithms (DISC since 1998)
WiOpt	International. Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks
ACISP	Australasia Conference on Information Security and Privacy
ACSAC	Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference)
ACSC	Australasian Computer Science Conference
ADHOC-NOW	International Conference on AD-HOC Networks & Wireless
AINA	International Conference on Advanced Information Networking and Applications (was ICOIN)
AMOC	Asian International Mobile Computing Conferrence
AWSAC	Annual Workshop on Selected Areas in Cryptography
Broadnets	International Conference on Broadband Communications, Networks and Systems
DAIS	IFIP International Conference on Distributed Applications and Inoperable Systems
DSS	Distributed Simulation Symposium
Emnets	IEEE Embedded Sensor Networks Worskhop
EuroPDP	EUROMICRO Conference on Parallel, Distributed and Network-Based processing
IEEE+GLOBECOM	IEEE Global Telecommunications Conference
HPCN	International Conference on High Performance Computing and Networking
HPSR	IEEE Workshop on High Performance Switching and Routing
ICCC	Intl Conf on Comp Communication
ICDCN	IEEE International Conference on Distributed Computing and Networking
ICON	IEEE International Conference on Networks
ICPADS	IEEE International Conference on Parallel and Distributed Systems
IEEE-IV	Intelligent Vehicles Conference
IN	IEEE Intell Network Workshop
INET	Internet Society Conference
IWCMC	ACM International Wireless Communications and Mobile Computing Conference
LATIN	International Symposium on Latin American Theoretical Informatics
NCC	National Conference Communications
IEEE+NOMS	IEEE Network Operations and Management Symp
IEEE+NOMS	IEEE Network Operations and Management Symposium
ODP	IFIP International Conference on Open Distributed Processing
OPODIS	International Conference on Principles of Distributed Systems
PDCAT	International Conference on Parallel and Distributed Computing, Applications and Technologies
PIMRC	IEEE International Symposium on Personal and Indoor Mobile Radio Conference
Qsine	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks
SECON	IEEE Conference on Sensor, Mesh and Ad Hoc Communications and Networks
VTC	IEEE Vehicular Technology Conference
WCNC	IEEE Wireless Communications and Networking Conference
WDAG	Workshop on Distributed Algorithms (DISC since 1998)
WiOpt	International. Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks
ACM+IMC	ACM SIGCOMM Internet Measurement Conference
